Note: items below colored red will not work on F150s due to firmware restrictions,,,,,,,
720-01-01,*xxx,xxxx,xxxx,"# of Fuel Senders, (2WD/4WD/AWD), AEIS Without Override (Regulatory - CARB)",,,
,,,,"0=1 sender, 2WD, AEIS disabled",,"8=2 senders, 2WD, AEIS disabled",
,,,,"1=1 sender, 2WD, AEIS enabled",,"9=2 senders, 2WD, AEIS enabled",
,,,,"2=1 sender, 4WD, AEIS disabled",,"A=2 senders, 4WD, AEIS disabled",
,,,,"3=1 sender, 4WD, AEIS enabled",,"B=2 senders, 4WD, AEIS enabled",
,,,,"4=1 sender, AWD, AEIS disabled",,"C=2 senders, AWD, AEIS disabled",
,,,,"5=1 sender, AWD, AEIS enabled",,"D=2 senders, AWD, AEIS enabled",
,,,,"6=1 sender, not used, AEIS disabled",,"E=2 senders, not used, AEIS disabled",
,,,,"7=1 sender, not used, AEIS enabled",,"F=2 senders, not used, AEIS enabled",
720-01-01,x*xx,xxxx,xxxx,"AEIS With Override, ABS Config, ACC Menu Config, Adaptive Cruise",,,
,,,,"0=AEIS disabled, ABS disabled, ACC menu disabled, AC disabled",,"8=AEIS enabled, ABS disabled, ACC menu disabled, AC disabled",
,,,,"1=AEIS disabled, ABS disabled, ACC menu disabled, AC enabled",,"9=AEIS enabled, ABS disabled, ACC menu disabled, AC enabled",
,,,,"2=AEIS disabled, ABS disabled, ACC menu enabled, AC disabled",,"A=AEIS enabled, ABS disabled, ACC menu enabled, AC disabled",
,,,,"3=AEIS disabled, ABS disabled, ACC menu enabled, AC enabled",,"B=AEIS enabled, ABS disabled, ACC menu enabled, AC enabled",
,,,,"4=AEIS disabled, ABS enabled, ACC menu disabled, AC disabled",,"C=AEIS enabled, ABS enabled, ACC menu disabled, AC disabled",
,,,,"5=AEIS disabled, ABS enabled, ACC menu disabled, AC enabled",,"D=AEIS enabled, ABS enabled, ACC menu disabled, AC enabled",
,,,,"6=AEIS disabled, ABS enabled, ACC menu enabled, AC disabled",,"E=AEIS enabled, ABS enabled, ACC menu enabled, AC disabled",
,,,,"7=AEIS disabled, ABS enabled, ACC menu enabled, AC enabled",,"F=AEIS enabled, ABS enabled, ACC menu enabled, AC enabled",
720-01-01,xx*x,xxxx,xxxx,"Adaptive Head Lamps Control (AHL), ASLD, AdvanceTrac Control (AC), AFE Metric Display Type",,,
,,,,"0=AHL disabled, ASLD disabled, AC disabled, AFE L/100km",,"8=AHL enabled, ASLD disabled, AC disabled, AFE L/100km",
,,,,"1=AHL disabled, ASLD disabled, AC disabled, AFE km/L",,"9=AHL enabled, ASLD disabled, AC disabled, AFE km/L",
,,,,"2=AHL disabled, ASLD disabled, AC enabled, AFE L/100km",,"A=AHL enabled, ASLD disabled, AC enabled, AFE L/100km",
,,,,"3=AHL disabled, ASLD disabled, AC enabled, AFE km/L",,"B=AHL enabled, ASLD disabled, AC enabled, AFE km/L",
,,,,"4=AHL disabled, ASLD enabled, AC disabled, AFE L/100km",,"C=AHL enabled, ASLD enabled, AC disabled, AFE L/100km",
,,,,"5=AHL disabled, ASLD enabled, AC disabled, AFE km/L",,"D=AHL enabled, ASLD enabled, AC disabled, AFE km/L",
,,,,"6=AHL disabled, ASLD enabled, AC enabled, AFE L/100km",,"E=AHL enabled, ASLD enabled, AC enabled, AFE L/100km",
,,,,"7=AHL disabled, ASLD enabled, AC enabled, AFE km/L",,"F=AHL enabled, ASLD enabled, AC enabled, AFE km/L",
720-01-01,xxx*,xxxx,xxxx,"AdvanceTrac Hardbutton Control (AHC), AutoHighBeam Control (AHB), Autolamp Delay (AD), Autolock Control (AC)",,,
,,,,"0=AHC disabled, AHB disabled, AD disabled, AC disabled",,"8=AHC enabled, AHB disabled, AD disabled, AC disabled",
,,,,"1=AHC disabled, AHB disabled, AD disabled, AC enabled",,"9=AHC enabled, AHB disabled, AD disabled, AC enabled",
,,,,"2=AHC disabled, AHB disabled, AD enabled, AC disabled",,"A=AHC enabled, AHB disabled, AD enabled, AC disabled",
,,,,"3=AHC disabled, AHB disabled, AD enabled, AC enabled",,"B=AHC enabled, AHB disabled, AD enabled, AC enabled",
,,,,"4=AHC disabled, AHB enabled, AD disabled, AC disabled",,"C=AHC enabled, AHB enabled, AD disabled, AC disabled",
,,,,"5=AHC disabled, AHB enabled, AD disabled, AC enabled",,"D=AHC enabled, AHB enabled, AD disabled, AC enabled",
