730-01-01,**xx,xxxx,xxxx,"Vehicle Tune Selector: 00=P552, 01=U/P 375 ABS without RCM, 02=U/P 375 ABS with RCM, 03=U/P 375 ABS with ESC/DSC, 04=S550, 99=No Tune Selected, Default Tune",,,,,,,,,,,,,,,,,,,,,
730-01-01,xx**,xxxx,xxxx,Tire Rolling Radius,,,,,,,,,,,,,,,,,,,,,
730-01-01,xxxx,x*xx,xxxx,"Active Park Assist: 0=disabled, 1=enabled",,,,,,,,,,,,,,,,,,,,,
730-01-01,xxxx,xxx*,xxxx,"Active Nibble Control (ANC): 0=disabled, 1=enabled",,,,,,,,,,,,,,,,,,,,,
730-01-01,xxxx,xxxx,x*xx,"Lane Assist: 0=disabled, 1=enabled",,,,,,,,,,,,,,,,,,,,,
730-01-02,x*xx,xxxx,xxxx,"Torque Steer Compensation (TSC): 0=disabled, 1=enabled",,,,,,,,,,,,,,,,,,,,,
730-01-02,xxx*,xxxx,xxxx,"Active Return: 0=Soft End Stops Disabled, 1=Soft End Stops Enabled",,,,,,,,,,,,,,,,,,,,,
730-01-02,xxxx,x*xx,xxxx,"Soft End Stops: 0=Active Return Disabled, 1=Active Return Enabled",,,,,,,,,,,,,,,,,,,,,
730-01-02,xxxx,xxx*,xxxx,"Pull Drift Compensation: 0=disabled, 1=enabled",,,,,,,,,,,,,,,,,,,,,
730-01-02,xxxx,xxxx,x*xx,"Start/Stop: 0=disabled, 1=enabled",,,,,,,,,,,,,,,,,,,,,
730-01-03,x*xx,xxxx,xxxx,"Rear Camera Equipped: 0=not present, 1=present",,,,,,,,,,,,,,,,,,,,,
730-01-03,xxx*,xxxx,xxxx,"Personalization/CCD Equipped: 0=disabled, 1=enabled",,,,,,,,,,,,,,,,,,,,,
730-01-03,xxxx,x*xx,xxxx,"Driver Steering Recommendation Equipped: 0=disabled, 1=enabled",,,,,,,,,,,,,,,,,,,,,
730-01-03,xxxx,xxx*,xxxx,"Dynamic Endstops Equipped: 0=disabled, 1=enabled",,,,,,,,,,,,,,,,,,,,,
730-01-03,xxxx,xxxx,x*xx,"Wheelbase In Millimeters: 0=Default (no wheelbase selected), 1=3073 (P552 121""), 2=3581 (P552 141""), 3=3670 (P552 144.5""), 4=3975 (P552 156.6""), 5=4140 (P552 163""), 6=U/P 375, 7=U/P 375, 8=U/P 375",,,,,,,,,,,,,,,,,,,,,
730-02-01,x*xx,xxxx,xxxx,"BB ANC: 0=disabled, 1=enabled",,,,,,,,,,,,,,,,,,,,,
730-02-01,xxx*,xxxx,xxxx,"BB TSC: 0=disabled, 1=enabled",,,,,,,,,,,,,,,,,,,,,
730-02-01,xxxx,x*xx,xxxx,"BB Lane Assist (LA): 0=disabled, 1=enabled",,,,,,,,,,,,,,,,,,,,,
730-02-01,xxxx,xxx*,xxxx,"BB Trailer Backup Assist (TBA): 0=disabled, 1=enabled",*enables TBA knob,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
