Special Thanks to Riley’s Ride/F150chief for the APIM Info below,,,,,,
Address,Byte Values,,,Accessory Protocol Interface Module APIM 7DO-XX-XX (SYNC 3.0 thru 3.4),,Notes
,,,,,,
7D0-01-01,*xxx,xxxx,xx--,"Smart DSP (DSP), Auxiliary Audio Module (AAM), Satellite Digital Audio Radio Service (SDARS), Rear Seat Entertainment (RSEM)",,
,,,,"0=DSP Disabled, AAM Disabled, SDARS Disabled, Rear Seat Entertainment Disabled","8=DSP Enabled, AAM Disabled, SDARS Disabled, Rear Seat Entertainment Disabled",
,,,,"1=DSP Disabled, AAM Disabled, SDARS Disabled, Rear Seat Entertainment Enabled","9=DSP Enabled, AAM Disabled, SDARS Disabled, Rear Seat Entertainment Enabled",
,,,,"2=DSP Disabled, AAM Disabled, SDARS Enabled, Rear Seat Entertainment Disabled","A=DSP Enabled, AAM Disabled, SDARS Enabled, Rear Seat Entertainment Disabled",
,,,,"3=DSP Disabled, AAM Disabled, SDARS Enabled, Rear Seat Entertainment Enabled","B=DSP Enabled, AAM Disabled, SDARS Enabled, Rear Seat Entertainment Enabled",
,,,,"4=DSP Disabled, AAM Enabled, SDARS Disabled, Rear Seat Entertainment Disabled","C=DSP Enabled, AAM Enabled, SDARS Disabled, Rear Seat Entertainment Disabled",
,,,,"5=DSP Disabled, AAM Enabled, SDARS Disabled, Rear Seat Entertainment Enabled","D=DSP Enabled, AAM Enabled, SDARS Disabled, Rear Seat Entertainment Enabled",
,,,,"6=DSP Disabled, AAM Enabled, SDARS Enabled, Rear Seat Entertainment Disabled","E=DSP Enabled, AAM Enabled, SDARS Enabled, Rear Seat Entertainment Disabled",
,,,,"7=DSP Disabled, AAM Enabled, SDARS Enabled, Rear Seat Entertainment Enabled","F=DSP Enabled, AAM Enabled, SDARS Enabled, Rear Seat Entertainment Enabled",
7D0-01-01,x*xx,xxxx,xx--,"Parking Distance Control (PDC) HMI, Reverse View Camera (RVC) (8"" screen Only), Illumination Strategy (I)",,
,,,,"0=PDC HMI Disabled, RVC Not Present, Illumination FNA","8=PDC HMI Enabled, RVC Not Present, Illumination FNA",
,,,,"1=PDC HMI Disabled, RVC Not Present, Illumination FoE","9=PDC HMI Enabled, RVC Not Present, Illumination FoE",
,,,,"2=PDC HMI Disabled, RVC Present, Illumination FNA","A=PDC HMI Enabled, RVC Present, Illumination FNA",
,,,,"3=PDC HMI Disabled, RVC Present, Illumination FoE","B=PDC HMI Enabled, RVC Present, Illumination FoE",
,,,,4=Reserved,C=Reserved,
,,,,5=Reserved,D=Reserved,
,,,,6=Reserved,E=Reserved,
,,,,7=Reserved,F=Reserved,
7D0-01-01,xx**,xxxx,xx--,"Extended Play (EP), Extended Play Time (EPT), Clock Master (CM), 10 Minute Clock (MC), CAN Steering Wheel Control Switches (SWC)",,
,,,,"00=EP On, EPT 20 minutes, CM APIM (NA Market CGEA 1.2), MC Disabled, SWC Not Available","80=EP Off, EPT 20 minutes, CM APIM (NA Market CGEA 1.2), MC Disabled, SWC Not Available",
,,,,"01=EP On, EPT 20 minutes, CM APIM (NA Market CGEA 1.2), MC Disabled, SWC CGEA SCCM","81=EP Off, EPT 20 minutes, CM APIM (NA Market CGEA 1.2), MC Disabled, SWC CGEA SCCM",
,,,,"02=EP On, EPT 20 minutes, CM APIM (NA Market CGEA 1.2), MC Disabled, SWC SWMT - C1MCA and CGEA 1.3","82=EP Off, EPT 20 minutes, CM APIM (NA Market CGEA 1.2), MC Disabled, SWC SWMT - C1MCA and CGEA 1.3",
,,,,"03=EP On, EPT 20 minutes, CM APIM (NA Market CGEA 1.2), MC Disabled, SWC SWFC - C1MCA","83=EP Off, EPT 20 minutes, CM APIM (NA Market CGEA 1.2), MC Disabled, SWC SWFC - C1MCA",
,,,,"04=EP On, EPT 20 minutes, CM APIM (NA Market CGEA 1.2), MC Enabled, SWC Not Available","84=EP Off, EPT 20 minutes, CM APIM (NA Market CGEA 1.2), MC Enabled, SWC Not Available",
