744-01-01,FC49,,,,,,,,,,,,,,,,,,,,,,,,
744-02-01,80CE,,,"""Easy entry/exit"" selected in productivity screen settings",Observed through testing on 8/5/16,,,,,,,,,,,,,,,,,,,,
744-02-01,004E,,,"""Easy entry/exit"" not selected in productivity screen settings",,,,,,,,,,,,,,,,,,,,,
744-03-01,00E1,FFFF,FF2D,,,,,,,,,,,,,,,,,,,,,,
744-03-02,FF4F,,,,,,,,,,,,,,,,,,,,,,,,
744-04-01,0050,,,,,,,,,,,,,,,,,,,,,,,,
744-05-01,3842,16E1,,,,,,,,,,,,,,,,,,,,,,,
744-06-01,382A,0EC2,,,,,,,,,,,,,,,,,,,,,,,
744-07-01,3802,0E9B,,,,,,,,,,,,,,,,,,,,,,,
744-08-01,3802,0E9C,,,,,,,,,,,,,,,,,,,,,,,
744-09-01,3802,0E9D,,,,,,,,,,,,,,,,,,,,,,,
744-10-01,3802,0EA4,,,,,,,,,,,,,,,,,,,,,,,
744-11-01,3802,0EA5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
