724-01-01,*xxx,xxxx,xx,RW Switch Present  (RWS) / Lane Depart Enable (LD) / Driver Side (DS),,,
,,,,"0=RWS disable, LD disable, DS Left",,"8=RWS enable, LD disable, DS Left",
,,,,"1=RWS disable, LD disable, DS Right-Lateralized",,"9=RWS enable, LD disable, DS Right-Lateralized",
,,,,"2=RWS disable, LD disable, DS Right- Non-Lateralized",,"A=RWS enable, LD disable, DS Right- Non-Lateralized",
,,,,"3=RWS disable, LD disable, DS Reserved",,"B=RWS enable, LD disable, DS Reserved",
,,,,"4=RWS disable, LD enable, DS Left",,"C=RWS enable, LD enable, DS Left",
,,,,"5=RWS disable, LD enable, DS Right-Lateralized",,"D=RWS enable, LD enable, DS Right-Lateralized",
,,,,"6=RWS disable, LD enable, DS Right- Non-Lateralized",,"E=RWS enable, LD enable, DS Right- Non-Lateralized",
,,,,"7=RWS disable, LD enable, DS reserved",,"F=RWS enable, LD enable, DS Reserved",
724-01-01,x*xx,xxxx,xx,"Parklamp Feature:  0=disabled, 1=enabled, 2=reserved, 3=reserved",,,
724-01-01,xx*x,xxxx,xx,RSAS Present Cfg (RS)/ ASAS Present Cfg (AS) / No SAS Present Cfg (NS),,,
,,,,"0=RS disable, AS disable, NS disable",,"8=RS enable, AS disable, NS disable",
,,,,"2=RS disable, AS disable, NS enable",,"A=RS enable, AS disable, NS enable",
,,,,"4=RS disable, AS enable, NS disable",,"C=RS enable, AS enable, NS disable",
,,,,"6=RS disable, AS enable, NS enable",,"E=RS enable, AS enable, NS enable",
724-01-01,xxx*,xxxx,xx,Tilt Cfg / Tele Cfg / AFS System,,,
,,,,"0=Tilt disable, Tele disable, AFS disable",,"8=Tilt enable, Tele disable, AFS disable",
,,,,"1=Tilt disable, Tele disable, AFS enable",,"9=Tilt enable, Tele disable, AFS enable",
,,,,"4=Tilt disable, Tele enable, AFS disable",,"C=Tilt enable, Tele enable, AFS disable",
,,,,"5=Tilt disable, Tele enable, AFS enable",,"D=Tilt enable, Tele enable, AFS enable",
