Address,Byte Values,,,Side Obstacle Detection-L/R SODL 7C4 (Driver) & SODR 7C6 (Passenger) ,,Notes
,,,,,,
7C4-01-01,**xx,xxxx,,"Trailer Tow, Trans Type, Door Control Unit (DCU), Driver Side (LHRH), Rear Park Aid (RPA), BLIS Trailer Tow (BTT)",,
,,,,"00=Less Trailer Tow, Trans Manual, DCU Not Present, LH Drive, RPA Not Present, BTT Not Present","80=With Trailer Tow, Trans Manual, DCU Not Present, LH Drive, RPA Not Present, BTT Not Present",
,,,,"01=Less Trailer Tow, Trans Manual, DCU Not Present, LH Drive, RPA Not Present, BTT Present","81=With Trailer Tow, Trans Manual, DCU Not Present, LH Drive, RPA Not Present, BTT Present",
,,,,"02=Less Trailer Tow, Trans Manual, DCU Not Present, LH Drive, RPA Present, BTT Not Present","82=With Trailer Tow, Trans Manual, DCU Not Present, LH Drive, RPA Present, BTT Not Present",
,,,,"03=Less Trailer Tow, Trans Manual, DCU Not Present, LH Drive, RPA Present, BTT Present","83=With Trailer Tow, Trans Manual, DCU Not Present, LH Drive, RPA Present, BTT Present",
,,,,"04=Less Trailer Tow, Trans Manual, DCU Not Present, RH Drive, RPA Not Present, BTT Not Present","84=With Trailer Tow, Trans Manual, DCU Not Present, RH Drive, RPA Not Present, BTT Not Present",
,,,,"05=Less Trailer Tow, Trans Manual, DCU Not Present, RH Drive, RPA Not Present, BTT Present","85=With Trailer Tow, Trans Manual, DCU Not Present, RH Drive, RPA Not Present, BTT Present",
,,,,"06=Less Trailer Tow, Trans Manual, DCU Not Present, RH Drive, RPA Present, BTT Not Present","86=With Trailer Tow, Trans Manual, DCU Not Present, RH Drive, RPA Present, BTT Not Present",
,,,,"07=Less Trailer Tow, Trans Manual, DCU Not Present, RH Drive, RPA Present, BTT Present","87=With Trailer Tow, Trans Manual, DCU Not Present, RH Drive, RPA Present, BTT Present",
,,,,"08=Less Trailer Tow, Trans Manual, DCU Present, LH Drive, RPA Not Present, BTT Not Present","88=With Trailer Tow, Trans Manual, DCU Present, LH Drive, RPA Not Present, BTT Not Present",
