Special Thanks to Riley’s Ride/F150chief for the APIM Info below,,,,,,
Address,Byte Values,,,Accessory Protocol Interface Module APIM 7DO-XX-XX (SYNC 2),,Notes
,,,,,,
7D0-01-01,*xxx,xxxx,xxxx,"Smart DSP (DSP), FES, Satellite Digital Audio Radio Service (SDARS), Rear Seat Entertainment (RSEM)",,
,,,,"0=DSP Disabled, FES Disabled, SDARS Disabled, Rear Seat Entertainment Disabled","8=DSP Enabled, FES Disabled, SDARS Disabled, Rear Seat Entertainment Disabled",
,,,,"1=DSP Disabled, FES Disabled, SDARS Disabled, Rear Seat Entertainment Enabled","9=DSP Enabled, FES Disabled, SDARS Disabled, Rear Seat Entertainment Enabled",
,,,,"2=DSP Disabled, FES Disabled, SDARS Enabled, Rear Seat Entertainment Disabled","A=DSP Enabled, FES Disabled, SDARS Enabled, Rear Seat Entertainment Disabled",
,,,,"3=DSP Disabled, FES Disabled, SDARS Enabled, Rear Seat Entertainment Enabled","B=DSP Enabled, FES Disabled, SDARS Enabled, Rear Seat Entertainment Enabled",
,,,,"4=DSP Disabled, FES Enabled, SDARS Disabled, Rear Seat Entertainment Disabled","C=DSP Enabled, FES Enabled, SDARS Disabled, Rear Seat Entertainment Disabled",
,,,,"5=DSP Disabled, FES Enabled, SDARS Disabled, Rear Seat Entertainment Enabled","D=DSP Enabled, FES Enabled, SDARS Disabled, Rear Seat Entertainment Enabled",
,,,,"6=DSP Disabled, FES Enabled, SDARS Enabled, Rear Seat Entertainment Disabled","E=DSP Enabled, FES Enabled, SDARS Enabled, Rear Seat Entertainment Disabled",
,,,,"7=DSP Disabled, FES Enabled, SDARS Enabled, Rear Seat Entertainment Enabled","F=DSP Enabled, FES Enabled, SDARS Enabled, Rear Seat Entertainment Enabled",
7D0-01-01,x*xx,xxxx,xxxx,"Parking Distance Control (PDC) HMI, Reverse View Camera (RVC 8"" screen Only), Illumination Strategy",,
,,,,"0=PDC HMI Disabled, RVC Not Present, Illumination FNA","8=PDC HMI Enabled, RVC Not Present, Illumination FNA",
,,,,"1=PDC HMI Disabled, RVC Not Present, Illumination FoE","9=PDC HMI Enabled, RVC Not Present, Illumination FoE",
,,,,"2=PDC HMI Disabled, RVC Present, Illumination FNA","A=PDC HMI Enabled, RVC Present, Illumination FNA",
,,,,"3=PDC HMI Disabled, RVC Present, Illumination FoE","B=PDC HMI Enabled, RVC Present, Illumination FoE",
7D0-01-01,xx**,xxxx,xxxx,"Extended Play (EP), Extended Play Time (EPT), Clock Master (CM), 10 Minute Clock (MC), CAN Steering Wheel Control Switches (SWC)",,
,,,,"00=EP On, EPT 20mins, CM APIM (NA Market CGEA 1.2), MC Disabled, SWC Not Available","40=EP On, EPT 40mins, CM APIM (NA Market CGEA 1.2), MC Disabled, SWC Not Available",
,,,,"01=EP On, EPT 20mins, CM APIM (NA Market CGEA 1.2), MC Disabled, SWC CGEA SCCM","41=EP On, EPT 40mins, CM APIM (NA Market CGEA 1.2), MC Disabled, SWC CGEA SCCM",
,,,,"02=EP On, EPT 20mins, CM APIM (NA Market CGEA 1.2), MC Disabled, SWC SWMT","42=EP On, EPT 40mins, CM APIM (NA Market CGEA 1.2), MC Disabled, SWC SWMT",
,,,,"03=EP On, EPT 20mins, CM APIM (NA Market CGEA 1.2), MC Disabled, SWC SWFC","43=EP On, EPT 40mins, CM APIM (NA Market CGEA 1.2), MC Disabled, SWC SWFC",
,,,,"04=EP On, EPT 20mins, CM APIM (NA Market CGEA 1.2), MC Enabled, SWC Not Available","44=EP On, EPT 40mins, CM APIM (NA Market CGEA 1.2), MC Enabled, SWC Not Available",
,,,,"05=EP On, EPT 20mins, CM APIM (NA Market CGEA 1.2), MC Enabled, SWC CGEA SCCM","45=EP On, EPT 40mins, CM APIM (NA Market CGEA 1.2), MC Enabled, SWC CGEA SCCM",
,,,,"06=EP On, EPT 20mins, CM APIM (NA Market CGEA 1.2), MC Enabled, SWC SWMT","46=EP On, EPT 40mins, CM APIM (NA Market CGEA 1.2), MC Enabled, SWC SWMT",
,,,,"07=EP On, EPT 20mins, CM APIM (NA Market CGEA 1.2), MC Enabled, SWC SWFC","47=EP On, EPT 40mins, CM APIM (NA Market CGEA 1.2), MC Enabled, SWC SWFC",
,,,,"08=EP On, EPT 20mins, CM BCM (C1MCA and CGEA 1.3), MC Disabled, SWC Not Available","48=EP On, EPT 40mins, CM BCM (C1MCA and CGEA 1.3), MC Disabled, SWC Not Available",
,,,,"09=EP On, EPT 20mins, CM BCM (C1MCA and CGEA 1.3), MC Disabled, SWC CGEA SCCM","49=EP On, EPT 40mins, CM BCM (C1MCA and CGEA 1.3), MC Disabled, SWC CGEA SCCM",
,,,,"0A=EP On, EPT 20mins, CM BCM (C1MCA and CGEA 1.3), MC Disabled, SWC SWMT","4A=EP On, EPT 40mins, CM BCM (C1MCA and CGEA 1.3), MC Disabled, SWC SWMT",
,,,,"0B=EP On, EPT 20mins, CM BCM (C1MCA and CGEA 1.3), MC Disabled, SWC SWFC","4B=EP On, EPT 40mins, CM BCM (C1MCA and CGEA 1.3), MC Disabled, SWC SWFC",
,,,,"0C=EP On, EPT 20mins, CM BCM (C1MCA and CGEA 1.3), MC Enabled, SWC Not Available","4C=EP On, EPT 40mins, CM BCM (C1MCA and CGEA 1.3), MC Enabled, SWC Not Available",
